Age,Annual_Income,Credit_Score,Loan_Amount,Employment_Years,Debt_To_Income_Ratio,Dependents,Approved
56,177,465,97,33,0.5618463747192025,4,0
19,75,711,89,2,0.7428037456552986,5,0
47,190,674,89,34,0.7303052769810532,1,0
58,191,592,64,2,0.6186216854080555,0,0
54,131,732,39,30,0.396971662414225,2,1
62,57,785,15,23,0.43170725800824217,4,1
18,87,377,32,13,0.8980197412134784,0,0
44,99,779,100,9,0.7052926226945352,4,0
54,123,368,49,38,0.1621418788898954,2,0
41,61,482,69,10,0.5680502544030297,0,0
39,131,485,34,5,0.21845592743532594,2,0
43,53,479,100,33,0.7971388400703923,0,0
46,108,385,18,7,0.4869742516016813,0,0
21,125,602,26,22,0.1133807096070023,0,0
45,173,743,66,17,0.8663378969585519,5,0
20,125,493,19,33,0.24982321308611688,3,0
61,75,557,83,15,0.9930637167173607,3,0
43,57,310,94,2,0.03722268508939519,3,0
25,72,369,14,1,0.9607562849914706,1,0
61,37,385,40,22,0.23927746288310603,5,0
56,52,514,61,35,0.7741303810618505,5,0
41,108,394,74,13,0.3867822977401486,3,0
45,114,339,20,21,0.356766581562193,5,0
47,36,509,16,17,0.41549644553683884,3,0
61,56,386,37,36,0.18131747608210236,3,0
41,93,447,21,5,0.7257696736145556,5,0
22,199,650,21,2,0.18530408352393457,5,1
37,46,642,80,8,0.6052352201681633,5,0
69,87,728,75,27,0.1997004160662832,0,1
35,124,498,48,40,0.32217550534020145,0,0
19,97,309,45,17,0.22457017239773802,3,0
64,132,819,52,26,0.16875380776677307,5,1
21,117,762,42,35,0.7667751995259885,1,0
63,138,420,51,11,0.349384691669827,2,0
45,41,663,33,7,0.13446755282055523,2,0
42,55,335,9,18,0.5763430129815986,3,0
35,117,406,50,9,0.33476634187912746,4,0
43,199,313,89,8,0.7107736831667975,3,0
32,99,605,99,7,0.9711717690288483,2,0
52,185,352,44,22,0.5300791019837752,4,0
44,104,544,73,2,0.11015363957962687,2,0
42,46,448,54,30,0.7649393184016161,0,0
41,45,305,17,38,0.2152852250771915,5,0
69,188,544,88,12,0.6899459106135571,4,0
29,101,379,63,4,0.8350126715752834,1,0
69,145,808,43,8,0.03137968801685298,2,1
27,158,758,90,32,0.681529731124555,3,0
38,195,342,37,5,0.424030445597287,3,0
53,130,307,17,20,0.5584492006799889,5,0
19,131,716,12,23,0.3715820993371812,4,1
49,105,679,20,35,0.4795439274571891,3,1
51,130,840,91,31,0.9564070871099168,5,0
24,146,625,18,19,0.12675619562541507,0,1
49,51,361,19,31,0.4041361111136923,3,0
35,90,543,57,36,0.2735531405685112,5,0
51,198,496,84,36,0.7989525124169056,4,0
68,155,381,99,35,0.09403074813422674,2,0
30,108,801,99,22,0.5207659821389716,2,0
32,164,748,87,30,0.9753011798999524,1,0
45,81,377,73,4,0.673356230383871,3,0
34,183,762,29,6,0.17688294015945139,0,1
52,128,752,72,15,0.4593334956111573,1,1
51,97,411,45,27,0.041491490771571105,5,1
39,35,620,59,16,0.08657139535762459,5,0
18,112,330,66,34,0.6076379946841319,3,0
22,197,420,97,16,0.020248618423494902,2,0
23,78,641,42,4,0.25153139041497585,5,1
66,105,827,86,26,0.9440666492637297,3,0
39,133,773,47,18,0.06836249987290988,4,1
31,160,714,15,21,0.38296823319092177,0,1
67,78,326,52,38,0.6459806781957683,4,0
67,192,573,87,22,0.5920196670421323,3,0
20,89,403,9,1,0.7434998642840964,0,0
56,25,331,14,15,0.24422533359937815,5,1
39,84,318,82,39,0.9256635763208915,5,0
69,159,600,53,23,0.4516737280751715,2,0
30,199,542,99,34,0.25736872987823345,3,0
33,85,721,86,10,0.5471830820679408,3,0
51,119,738,77,1,0.29466712169147147,4,1
68,122,813,100,8,0.30669727038699823,5,1
26,35,761,22,4,0.49463386301991774,1,0
31,53,338,80,24,0.6468360365975345,2,0
53,187,806,31,30,0.3510749056615666,3,1
18,91,713,93,33,0.9495949952878708,0,0
39,149,843,10,13,0.18131295235517475,2,1
56,138,570,38,6,0.383360519135037,4,0
35,134,529,94,31,0.26276403791425407,3,0
35,145,678,54,39,0.9116035178596232,1,0
29,173,555,46,17,0.35264403113672926,3,0
19,51,616,16,12,0.002011264345435748,0,1
33,178,603,22,26,0.09673295035256035,3,1
64,74,843,14,15,0.25541137598270813,0,1
42,110,720,48,15,0.9992460918840257,0,0
68,38,770,7,23,0.8037843785259304,1,0
29,25,516,50,38,0.5518341943372664,0,1
62,35,492,18,20,0.6806289156376021,4,0
39,91,474,45,33,0.8907930516903237,3,1
60,62,844,71,34,0.14991662814344964,3,1
40,166,350,14,1,0.2229467049335211,2,0
20,137,702,19,26,0.36852947334645736,0,1
48,182,474,89,25,0.9959740585146502,5,0
19,153,430,69,32,0.06059769646249347,1,0
48,168,433,19,14,0.3485675066807289,1,1
21,58,402,45,1,0.6290303313512473,4,0
26,63,481,26,21,0.9202454457228059,5,0
64,111,609,56,10,0.5207453613861929,3,0
62,198,527,40,11,0.6615412504824808,3,0
29,65,443,7,24,0.3501001382111898,1,0
68,177,384,39,37,0.8009874086995432,1,0
25,129,434,36,0,0.9148208935862071,5,0
61,29,469,50,16,0.6577239053611328,5,0
38,179,433,72,22,0.3649785404687468,0,1
23,196,752,21,13,0.39712302560511914,2,1
29,36,361,12,17,0.034934808918159366,0,0
43,109,722,63,34,0.2613886808010255,1,1
41,189,452,72,12,0.018688454979683855,5,0
28,30,308,48,15,0.7026009667897627,3,0
59,159,448,17,14,0.8800363682582618,4,0
32,155,811,11,31,0.22828506211940347,0,1
65,121,376,63,0,0.9612945211409166,1,1
49,147,351,62,39,0.11463814299675745,2,0
31,102,736,89,0,0.887482517068172,3,0
70,152,765,56,35,0.7024941626624895,3,0
43,45,421,75,2,0.08361346903152633,5,0
67,48,474,80,16,0.30643919092327754,2,0
52,140,796,71,6,0.6415699856658924,2,0
57,147,462,41,2,0.6002254108604961,0,0
37,21,531,57,17,0.09171961532076933,3,0
48,39,633,97,25,0.9816656499299057,0,0
23,29,566,10,24,0.868683211985112,1,0
34,134,392,56,20,0.09611006569868397,3,0
35,75,842,90,9,0.5467038721028958,1,0
25,72,850,25,23,0.8150271042508549,5,0
42,40,326,85,38,0.5133387070264082,3,0
41,150,770,46,4,0.2506411181750833,0,1
22,148,320,100,30,0.30482994698157306,3,1
21,75,846,98,36,0.9526981391702748,4,0
26,24,349,21,19,0.9299306628757037,3,0
65,161,584,19,7,0.9831934097481101,3,0
64,113,409,8,0,0.587319810172082,3,0
58,65,544,76,23,0.2743870902057053,4,0
52,122,763,95,34,0.2762653791314248,4,1
68,63,761,71,32,0.7721996552093382,2,0
70,115,581,79,39,0.41678699156795607,5,0
70,187,464,31,37,0.13603858349980502,5,1
18,26,367,58,32,0.3239941959538054,4,0
28,32,616,19,27,0.738976595938536,2,1
68,169,640,42,2,0.32656545495884837,4,1
49,138,433,27,33,0.7765054174666707,3,0
33,45,809,81,1,0.07648977325413198,2,0
63,138,379,17,25,0.06352339750597513,1,0
35,68,437,60,40,0.12679151216098228,3,0
46,186,574,97,19,0.1347930863825203,3,0
52,45,720,85,21,0.38926346298177006,5,0
41,165,626,82,6,0.7183782847761766,4,0
55,81,433,95,3,0.5353971010240902,5,0
51,197,597,36,30,0.1950269850218761,4,0
37,173,850,10,33,0.585448291484623,3,0
40,137,516,60,1,0.9050139458677754,3,0
38,195,601,74,24,0.41037837538895994,5,1
57,174,332,34,7,0.3110201472158838,1,0
21,44,529,67,30,0.28168183364816834,0,0
68,61,766,64,33,0.16556127030880097,2,0
59,100,360,37,22,0.6377806523184976,3,0
30,148,703,74,17,0.6002022080701612,1,0
51,190,422,44,33,0.6006286654320312,0,0
38,91,520,13,38,0.9482532853533017,2,0
56,178,534,8,38,0.7140128012482679,2,0
67,72,738,62,40,0.9561667844973851,5,1
67,97,528,47,0,0.8620141069116402,3,0
56,81,545,30,9,0.8717089108973005,5,0
64,70,650,16,4,0.995917414877384,0,0
22,195,782,78,0,0.7390127436095144,2,0
42,149,830,61,16,0.8852169293323735,1,0
35,199,592,69,0,0.26440771405595076,2,0
54,134,559,5,25,0.5776955876901549,3,0
66,83,304,5,38,0.08601363557203567,5,0
34,136,733,6,38,0.9624655337564261,4,0
63,147,315,62,10,0.4372286316611501,3,0
58,37,801,26,10,0.9786671869732325,2,0
59,196,625,91,1,0.7158744169317086,0,0
53,161,652,93,27,0.8462460472620109,1,0
21,83,329,78,27,0.22789309770992672,1,0
61,72,556,83,9,0.9158835343364059,4,0
37,69,520,93,38,0.7977045624757104,1,0
69,87,500,35,29,0.6639868618670157,2,0
21,32,425,21,22,0.5038200987207079,2,1
32,100,667,89,18,0.39570315443991877,2,1
31,115,350,36,22,0.9993529298700329,4,0
28,87,646,45,2,0.5203167221940654,4,0
66,38,312,7,8,0.4162863037516904,3,0
33,40,850,30,19,0.05083209853412329,3,0
29,95,762,56,6,0.1706324570633776,3,1
54,46,757,73,29,0.12203151517858479,1,0
45,117,463,89,38,0.5035484729762578,1,0
50,25,354,10,38,0.9198480247021956,3,1
65,24,386,67,24,0.3507408988828107,3,0
62,45,636,54,16,0.13787821923194754,0,0
69,66,824,69,37,0.5300930634747665,2,0
53,134,768,63,11,0.5082770039431757,4,0
70,70,366,30,8,0.9714447450464361,0,0
40,131,561,55,9,0.48405311915220717,2,0
47,23,644,91,0,0.33290280464450606,2,0
55,171,371,62,34,0.026352912229547387,4,0
52,157,753,47,33,0.6596700426995783,4,0
68,114,658,33,19,0.7031071510992242,1,0
25,61,842,44,2,0.24744361898161205,3,0
69,67,784,66,11,0.15188640201736225,0,1
29,200,330,28,14,0.766345725285428,5,0
31,187,447,54,39,0.344313778651542,2,0
44,67,487,15,28,0.17250494698489294,4,0
30,54,709,82,20,0.08051635265853319,1,1
48,47,414,72,27,0.10381491312249158,0,0
29,199,500,31,15,0.8043219414341211,3,0
53,167,842,76,13,0.1584271494061794,2,1
54,23,441,34,33,0.14485211022542677,3,0
51,46,577,68,29,0.9152433100276822,0,0
22,61,674,26,20,0.6193692830919499,1,1
62,168,847,58,4,0.5175988248754383,1,0
41,160,557,38,28,0.0960527195895543,1,0
62,34,361,60,33,0.8064074542922428,2,0
68,198,599,69,15,0.6467824400060186,1,0
65,68,350,72,0,0.18241389015196596,1,0
32,116,539,15,1,0.19001840491546107,2,0
22,146,635,53,35,0.19133920300134066,2,1
65,77,823,71,32,0.2743501638553697,0,1
50,62,712,16,21,0.18164101406746547,5,1
53,106,742,9,11,0.7403129843309826,5,0
32,111,790,69,36,0.5255437364597197,0,0
37,144,460,45,7,0.28332231536439745,5,0
40,198,324,93,38,0.2591080067353013,1,0
65,40,307,32,34,0.3438403038597223,2,0
65,92,713,55,27,0.42357792900346214,2,1
65,76,470,18,13,0.2907012606932192,1,0
44,89,819,42,17,0.11705645896458661,5,1
20,127,655,62,11,0.7392704938517711,1,0
67,186,600,97,20,0.8406791111545809,0,0
47,93,379,56,36,0.5286734431337664,3,0
37,136,606,6,19,0.04603378156136251,4,1
35,73,396,40,19,0.4121745004435924,5,0
43,93,701,57,25,0.5172518254386435,2,0
65,162,574,99,21,0.738260680749041,3,0
22,193,738,95,40,0.35083823149445414,3,1
66,135,363,65,0,0.9430118524931661,0,0
44,102,507,43,4,0.942451444734066,3,0
64,173,454,45,34,0.4575472291092496,5,0
49,118,700,8,38,0.6314760518374166,5,0
35,142,709,96,5,0.8070791562587321,5,0
23,139,659,91,22,0.8711825954200031,0,0
46,177,320,7,30,0.5068840661442501,1,0
37,66,355,34,22,0.04984939463504168,4,0
59,133,591,7,7,0.3927591345546926,1,0
44,181,388,33,28,0.24227619398468836,3,0
56,157,787,99,5,0.46193407285985744,3,1
50,81,775,71,40,0.7389670657953086,3,0
47,65,432,26,3,0.8641883625548357,0,0
22,32,623,81,0,0.17451040239086957,2,0
34,67,829,11,38,0.9891499106666726,2,0
66,176,696,20,24,0.9818990544779979,0,0
52,174,579,83,16,0.45872405383057935,3,0
64,91,498,62,15,0.09918414687418287,1,0
49,78,302,50,12,0.11366358489999251,4,1
39,33,676,24,36,0.05849137777456914,1,0
68,113,784,22,39,0.3638684606223187,2,1
24,88,753,30,14,0.7814488897190144,4,0
41,148,840,45,13,0.9035391853604525,4,0
44,124,778,17,3,0.5300246368249503,1,0
58,21,489,40,6,0.7498235843610578,5,0
49,187,468,62,36,0.2897508887789536,3,0
22,127,796,38,7,0.5726153921451278,1,0
28,94,345,97,21,0.1721729688289686,4,0
63,98,775,49,29,0.9006793870200173,5,0
54,199,803,83,2,0.5106418485290586,0,0
62,47,823,58,13,0.9438978902546958,2,0
46,25,488,17,36,0.4526842721720691,1,0
38,99,482,21,32,0.0980693699063544,1,1
33,167,743,24,24,0.6621234406352879,1,0
23,195,465,70,10,0.9554449103904202,0,0
34,21,673,59,23,0.9147324240549534,4,0
43,127,739,81,14,0.15489768548958494,4,1
68,178,779,85,10,0.061417441643820125,0,1
66,178,759,19,10,0.990356757725624,0,0
27,26,549,11,3,0.015166214610901396,2,0
59,128,745,19,21,0.12052500222632356,3,1
32,178,478,92,3,0.6434645441264838,1,0
55,36,426,61,8,0.1794072409021057,0,0
33,193,708,91,17,0.15039827261328031,2,1
51,101,560,58,5,0.6732054099635502,2,0
44,49,766,40,28,0.6531364108181233,2,0
40,146,387,69,16,0.34256802461147917,4,0
51,190,739,62,31,0.2049610188775588,3,1
24,141,781,49,17,0.8292524915204579,2,0
51,152,811,85,11,0.4796272372174225,0,0
56,183,445,82,10,0.7329696677216548,5,0
61,33,421,80,7,0.03629627841074945,5,1
58,49,818,31,25,0.5342704866019119,5,0
56,70,333,89,28,0.8451335255204949,4,0
26,100,786,52,37,0.8976406933263213,1,0
48,77,488,16,28,0.6213551549925544,5,0
40,127,786,14,22,0.4894666567526538,0,1
58,175,372,30,9,0.9260427679260474,2,0
19,141,306,5,16,0.6728679604557496,3,0
18,124,371,68,7,0.806548435161058,2,0
18,101,467,83,10,0.6703759104353387,3,0
41,195,670,95,6,0.7818535394902439,0,0
41,28,585,17,9,0.9058402921423042,3,0
22,23,515,11,9,0.4307980528637749,4,0
38,124,797,38,1,0.20800381042530114,5,1
63,46,372,58,28,0.23105461954550788,0,0
38,185,499,27,31,0.5375906601353175,3,0
61,169,805,35,15,0.17705769678257033,4,1
43,165,830,62,36,0.1548766037942092,1,1
53,34,749,94,27,0.06432419452904947,1,0
27,143,735,91,14,0.9405783539402631,3,0
34,119,447,28,16,0.48454173102226905,0,0
68,88,735,96,3,0.3290105773074007,4,1
60,63,392,11,10,0.7595263359884299,5,0
30,112,715,73,0,0.3670311756215858,2,1
23,51,465,34,19,0.6775652257748761,2,0
63,85,572,35,3,0.003442498944409733,5,0
49,46,763,51,40,0.9818167023542681,0,0
42,90,773,97,2,0.18210926234306601,2,1
47,29,383,56,6,0.7276233847992125,4,0
44,99,599,23,0,0.46319587796544825,2,0
41,180,470,6,11,0.7594114468868812,1,0
25,42,787,59,28,0.5586969639802648,0,1
24,150,466,93,32,0.7286004799966389,1,0
23,81,308,39,18,0.9087809432111732,3,0
20,52,798,97,5,0.16651871053386136,1,1
60,23,834,60,8,0.22418655074225668,3,0
21,68,328,10,13,0.23438862021728646,5,0
42,96,323,20,35,0.07523850775191299,4,0
45,44,842,96,38,0.9731313883615972,1,0
24,82,555,76,6,0.029810722853826133,0,1
20,177,774,71,4,0.7973290857389358,3,0
52,66,744,32,35,0.7719321122398732,4,0
42,36,752,46,35,0.9417345298822242,5,0
70,124,458,75,17,0.01941969619739481,5,0
70,118,334,21,7,0.5098774739540961,1,0
40,167,572,53,5,0.7616519889681673,4,0
27,172,648,28,30,0.45969029216128865,0,1
25,186,706,5,15,0.5104185098361658,3,0
29,177,500,78,39,0.0685457991008318,1,0
23,103,336,58,22,0.852224580078157,4,0
69,76,683,18,29,0.26929096758459625,5,0
66,200,414,57,34,0.7257690156723606,4,0
37,34,719,11,30,0.5871917004671171,3,0
48,65,765,79,6,0.6615192818109894,5,1
40,73,786,5,32,0.4359491504351223,4,1
64,71,366,96,21,0.9200515068834888,2,0
29,106,731,75,31,0.8706945022561537,2,0
38,55,621,92,34,0.05458031058952706,2,1
33,62,365,67,12,0.1177030622751466,2,0
33,138,796,38,35,0.8667837779383459,5,0
32,44,828,30,5,0.6560077089045355,4,0
61,180,693,15,7,0.763460676533682,5,0
37,57,412,80,33,0.5567976977124081,0,0
45,55,585,21,8,0.2885790406177716,3,0
57,54,300,28,1,0.6063915557763068,5,0
54,42,636,78,15,0.8503588473542644,2,0
20,22,714,98,15,0.6813183040463634,0,0
42,121,309,9,18,0.5427447194574935,0,0
46,60,722,93,9,0.9006845482876117,4,0
36,55,700,93,16,0.9971352250012507,2,0
54,188,779,22,36,0.34266266369113685,0,1
43,101,608,35,38,0.33568544147991564,3,1
31,85,811,22,5,0.5439295625290231,1,0
31,122,748,43,8,0.4081006484742057,0,1
54,185,624,88,38,0.7148371979367092,2,0
23,104,427,47,16,0.4153480693188697,4,0
59,129,719,67,19,0.4620217839602411,2,1
40,54,723,87,21,0.3812351856571038,5,1
36,39,563,91,5,0.19003307983554663,5,0
